Year,Reference_Area_Code,Reference_Area,Gross_Value_Added_gva,Total_Labour_Compensation_lctot,Capital_Deepening_Growth_kserhrs,Capital_Services_Growth_kser,Hours_hrsto,sL,sK,log_share_ratio,dy,gK,gH,dx,dx_oecd_direct,dx_gap_check
2010,ITA,Italy,1449486.7,939636.5077,0.991300231,0.453509586,42873.727,0.6482546598737332,0.3517453401262668,0.6113761645625797,0.0055269610099665245,0.00453509586,-0.005377906444552494,0.009913002304552495,0.00991300231,-5.447505294076116e-12
2011,ITA,Italy,1480015.2,950486.4099,0.272989377,0.275088543,42874.627,0.6422139515188763,0.3577860484811237,0.5849863281817232,-0.026389836380856457,0.0027508854300000002,2.099165658719926e-05,0.002729893773412801,0.0027298937699999997,3.4128012915690675e-12
2012,ITA,Italy,1455350.5,937492.2776,1.972995887,-0.510788419,41822.83,0.6441694132100824,0.35583058678991764,0.5935070177182012,0.008520689536477999,-0.00510788419,-0.024837843058067577,0.019729958868067575,0.019729958869999998,-1.93242297163998e-12
2013,ITA,Italy,1445573.7,927669.1488,1.760089772,-0.857032945,40742.474,0.6417307874375412,0.3582692125624588,0.5828841873398294,-0.010622830378371861,-0.00857032945,-0.026171227168196864,0.017600897718196864,0.017600897719999998,-1.8031340309754285e-12
2014,ITA,Italy,1453767.7,929270.9813,-0.714565334,-0.821343872,40698.993,0.6392155922160053,0.3607844077839947,0.5719612159053676,-0.010922971434461748,-0.00821343872,-0.0010677853858229724,-0.007145653334177028,-0.00714565334,5.82297144530175e-12
2015,ITA,Italy,1479703.7,943527.869,-1.334831881,-0.534982498,41025.829,0.6376464889558633,0.3623535110441367,0.5651637520762638,-0.006797463829103845,-0.00534982498,0.007998493835010834,-0.013348318815010835,-0.013348318809999999,-5.010835496532806e-12
2016,ITA,Italy,1515428.7,955802.7041,-1.782668988,-0.122150459,41712.758,0.6307144005521342,0.36928559944786576,0.5352828191443241,-0.02988093293193972,-0.00122150459,0.0166051852919189,-0.0178266898819189,-0.01782668988,-1.9188990674212647e-12
2017,ITA,Italy,1552004.0,969900.7509,-0.940168355,0.143670579,42167.316,0.6249344401818552,0.3750655598181448,0.5105459116536157,-0.024736907490708337,0.00143670579,0.010838389335736665,-0.009401683545736665,-0.00940168355,4.26333447711702e-12
2018,ITA,Italy,1582453.4,992633.6624,-0.630031388,0.352910611,42583.84,0.627275130123895,0.372724869876105,0.5205447152125556,0.009998803558939895,0.0035291061099999997,0.009829419993282684,-0.006300313883282685,-0.00630031388,-3.282684887806475e-12
2019,ITA,Italy,1604269.8,1012092.949,0.346666821,0.381800739,42598.804,0.6308745255941364,0.36912547440586363,0.535970367398745,0.01542565218618941,0.00381800739,0.00035133918017216104,0.003466668209827839,0.00346666821,-1.7216089664984224e-13
2020,ITA,Italy,1496321.9,939902.6736,12.19999522,-0.306220399,37590.976,0.628142028530091,0.37185797146990895,0.5242543167314586,-0.011716050667286426,-0.00306220399,-0.12506215617259997,0.12199995218259997,0.1219999522,-1.7400025864588997e-11
2021,ITA,Italy,1644016.4,1024752.511,-8.969865588,0.77933075,41440.389,0.6233225599209352,0.3766774400790648,0.5036749128727928,-0.020579403858665857,0.0077933075,0.0974919633815663,-0.0896986558815663,-0.08969865587999999,-1.5663026431411708e-12
2022,ITA,Italy,1793606.6,1082763.074,-2.764638934,1.42202802,43212.191,0.6036792427057305,0.3963207572942695,0.4208191251977407,-0.08285578767505208,0.0142202802,0.04186666954066354,-0.02764638934066354,-0.02764638934,-6.635386684550326e-13
2000,JPN,Japan,535696700.0,322663581.6,2.394985204,2.270435061,119475.81,0.6023251246460918,0.3976748753539082,0.41516259833690927,,0.02270435061,,,0.02394985204,
2001,JPN,Japan,528543800.0,317096130.9,3.0209619,1.993333893,118254.33,0.5999429581805708,0.40005704181942925,0.4052274395081943,-0.009935158828714985,0.01993333893,-0.010276280064461574,0.030209618994461573,0.030209619,-5.538427355622488e-12
2002,JPN,Japan,524121800.0,305058928.4,3.125623037,1.341628644,116163.386,0.5820382369136334,0.41796176308636657,0.3311461922670136,-0.0740812472411807,0.013416286440000001,-0.01783994393711197,0.03125623037711197,0.03125623037,7.111970734552386e-12
2003,JPN,Japan,524457500.0,301181322.9,1.291534327,1.399748253,116289.159,0.5742721248146894,0.42572787518531063,0.29930301750888333,-0.031843174758130255,0.01399748253,0.0010821392579174471,0.012915343272082554,0.012915343269999999,2.0825546148683927e-12
